"ASV","Taxon","Confidence"
"73969699ba3d1903090308ef3807ee15","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Sulfurifustis","0.7700701"
"ae2638e1d4e92961f99415528d03087c","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae","0.9519534"
"0eedcc88fa9579ba1017b6d5b27ab1a6","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__CCD24; f__CCD24; g__CCD24","0.9996548"
"51a1966c6d83978cd23c896e6f6b801d","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylotenera","0.7163442"
"b32a00ff4f7ff9a170b8c542a21b844c","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__uncultured","0.9854708"
"79c1f6d7a93bc706998d5a9af3a0aa47","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__uncultured","0.9939321"
"37688be7cd49852055f871d5a7200116","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__uncultured","0.7247709"
"633a389ca0dc8a7137318c0f426627c2","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PLTA13; f__PLTA13; g__PLTA13","0.9850471"
"4b95fec051568307131b1c688ce86fab","d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Sulfurimonadaceae; g__Sulfuricurvum","0.9999746"
"7f1e38afcaf84697c33efdbe9a3d0cdb","d__Bacteria","0.9917771"
"433e75e28e7765180dbfa147192a1c80","d__Bacteria; p__Armatimonadota; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadales; g__Chthonomonadales; s__uncultured_Lutispora","0.9888891"
